,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed,gene_symbol,Candidate_EMG,delabel
SK1_14T01040.1|CDS=1-1668|Name=YNL219C|ALG9,3677.753585,2.086420775,0.23134501,9.018654752,1.90E-19,4.28E-18,UP,ALG9,FALSE,NA
SK1_07T02100.1|CDS=1-2283|Name=YGL021W|ALK 1.00,312.7747159,0.853516855,0.16847383,5.066168755,4.06E-07,1.30E-06,UP,ALK 1.00,FALSE,NA
SK1_02T00970.1|CDS=1-2031|Name=YBL009W|ALK 2.00,1691.939612,1.352610331,0.249865023,5.413364042,6.19E-08,2.29E-07,UP,ALK 2.00,FALSE,NA
SK1_14T00590.1|CDS=1-1722|Name=YNL270C|ALP1,1750.666529,1.563993254,0.202069757,7.739868039,9.95E-15,1.06E-13,UP,ALP1,FALSE,NA
SK1_12T01440.1|CDS=1-1779|Name=YLR089C|ALT1,1023.39813,0.666836045,0.103521444,6.441525754,1.18E-10,6.64E-10,UP,ALT1,FALSE,NA
SK1_07T04340.1|CDS=1-1782|Name=YGR225W|AMA1,23042.16115,2.963363473,0.315777933,9.384327299,6.33E-21,1.71E-19,UP,AMA1,FALSE,NA
SK1_13T00920.1|CDS=1-2433|Name=YML035C|AMD 1.00,2575.270973,1.925818112,0.312543541,6.16175943,7.19E-10,3.56E-09,UP,AMD 1.00,FALSE,NA
SK1_02T03040.1|CDS=1-975|Name=YBR211C|AME1,428.0797629,1.240210974,0.148986003,8.324345546,8.48E-17,1.25E-15,UP,AME1,FALSE,NA
SK1_13T01970.1|CDS=1-1017|Name=YMR081C|ISF1,1251.362733,-2.002919048,0.159870199,-12.52840779,5.22E-36,7.40E-34,DOWN,ISF1,FALSE,NA
SK1_15T04800.1|CDS=1-1548|Name=YOR378W|AMF1,185.5630643,0.742718766,0.213345766,3.481291325,0.000499002,0.000989593,UP,AMF1,FALSE,NA
SK1_02T02540.1|CDS=1-1650|Name=YBR158W|AMN1,317.6266155,1.476161967,0.141449629,10.43595502,1.70E-25,8.10E-24,UP,AMN1,FALSE,NA
SK1_10T02320.1|CDS=1-474|Name=YJR047C|ANB1,97.63894853,3.019459814,0.311382173,9.696957888,3.11E-22,1.02E-20,UP,ANB1,FALSE,NA
SK1_14T01460.1|CDS=1-5244|Name=YNL172W|APC1,6293.137323,1.78142773,0.593819228,2.999949559,0.002700243,0.004741075,UP,APC1,FALSE,NA
SK1_04T02160.1|CDS=1-498|Name=YDL008W|APC11,1510.719883,1.746969623,0.224878395,7.768508065,7.94E-15,8.56E-14,UP,APC11,FALSE,NA
SK1_12T01780.1|CDS=1-2562|Name=YLR127C|APC2,2312.155147,1.50505961,0.307636921,4.892324386,9.97E-07,3.00E-06,UP,APC2,FALSE,NA
SK1_04T03300.1|CDS=1-1959|Name=YDR118W|APC4,1825.455992,1.225963049,0.217770367,5.629613738,1.81E-08,7.24E-08,UP,APC4,FALSE,NA
SK1_15T03650.1|CDS=1-2058|Name=YOR249C|APC5,2691.873815,2.430641759,0.639159481,3.802872102,0.000143028,0.000308185,UP,APC5,FALSE,NA
SK1_12T01570.1|CDS=1-798|Name=YLR102C|APC9,2526.062385,1.577871851,0.239213403,6.596084634,4.22E-11,2.60E-10,UP,APC9,FALSE,NA
SK1_05T00700.1|CDS=1-2289|Name=YER001W|MNN1,681.7061153,-2.018677662,0.168928941,-11.94986277,6.50E-33,7.11E-31,DOWN,MNN1,FALSE,NA
SK1_11T00610.1|CDS=1-2877|Name=YKL157W|APE2,15709.3967,1.516297133,0.304232269,4.984011512,6.23E-07,1.94E-06,UP,APE2,FALSE,NA
SK1_02T03760.1|CDS=1-1614|Name=YBR286W|APE3,15982.876,0.776331149,0.190285668,4.079819337,4.51E-05,0.00010488,UP,APE3,FALSE,NA
SK1_16T00230.1|CDS=1-1428|Name=YPL259C|APM1,350.5454722,1.402067579,0.158335889,8.855020714,8.37E-19,1.72E-17,UP,APM1,FALSE,NA
SK1_10T02430.1|CDS=1-444|Name=YJR058C|APS2,453.370188,0.695278564,0.134100078,5.184773729,2.16E-07,7.33E-07,UP,APS2,FALSE,NA
SK1_08T02170.1|CDS=1-1314|Name=YHR174W|ENO2,1324.542428,-2.512746586,0.213581062,-11.76483796,5.92E-32,5.85E-30,DOWN,ENO2,FALSE,NA
SK1_13T01030.1|CDS=1-564|Name=YML022W|APT1,357.295171,1.305981583,0.202396197,6.452599419,1.10E-10,6.22E-10,UP,APT1,FALSE,NA
SK1_08T00600.1|CDS=1-717|Name=YHR013C|ARD1,390.5946332,0.712256013,0.146921462,4.847869095,1.25E-06,3.70E-06,UP,ARD1,FALSE,NA
SK1_15T00190.1|CDS=1-1272|Name=YOL140W|ARG8,315.9754734,1.310216746,0.159985666,8.189588329,2.62E-16,3.63E-15,UP,ARG8,FALSE,NA
SK1_13T01630.1|CDS=1-534|Name=YMR042W|ARG80,428.1700928,1.214817506,0.132965552,9.136332609,6.46E-20,1.54E-18,UP,ARG80,FALSE,NA
SK1_07T00920.1|CDS=1-1044|Name=YGL157W|ARI1,160.1930711,2.937189116,0.271625911,10.81336129,2.98E-27,1.75E-25,UP,ARI1,FALSE,NA
SK1_04T05710.1|CDS=1-1908|Name=YDR380W|ARO10,7851.261629,2.214535972,0.186283645,11.88797856,1.37E-32,1.45E-30,UP,ARO10,FALSE,NA
SK1_07T00990.1|CDS=1-1131|Name=YGL148W|ARO2,885.6209995,0.633528322,0.126462276,5.009622963,5.45E-07,1.72E-06,UP,ARO2,FALSE,NA
SK1_02T03400.1|CDS=1-1113|Name=YBR249C|ARO4,892.5849672,1.441225434,0.185240982,7.780273135,7.24E-15,7.85E-14,UP,ARO4,FALSE,NA
SK1_16T03880.1|CDS=1-1470|Name=YPR138C|MEP3,705.4304191,-1.23714692,0.107806548,-11.47561945,1.75E-30,1.49E-28,DOWN,MEP3,FALSE,NA
SK1_04T03200.1|CDS=1-855|Name=YDR106W|ARP 10.00,119.7276078,1.912638243,0.295800331,6.46597735,1.01E-10,5.74E-10,UP,ARP 10.00,FALSE,NA
SK1_04T03160.1|CDS=1-1782|Name=YDR101C|ARX1,608.9772711,1.376068412,0.162817884,8.451580265,2.87E-17,4.50E-16,UP,ARX1,FALSE,NA
SK1_16T03430.1|CDS=1-1347|Name=YPR085C|ASA1,325.066947,0.7295625,0.134947538,5.406267566,6.44E-08,2.37E-07,UP,ASA1,FALSE,NA
SK1_01T00290.1|CDS=1-1503|Name=YAL038W|CDC19,2988.925104,-2.306347867,0.20323429,-11.34822214,7.57E-30,6.06E-28,DOWN,CDC19,FALSE,NA
SK1_13T02290.1|CDS=1-960|Name=YMR116C|ASC1,1011.231574,1.099820213,0.246789521,4.456510991,8.33E-06,2.20E-05,UP,ASC1,FALSE,NA
SK1_16T01430.1|CDS=1-933|Name=YPL134C|ODC1,2591.915194,-1.308627462,0.116031273,-11.27823062,1.68E-29,1.29E-27,DOWN,ODC1,FALSE,NA
SK1_15T01980.1|CDS=1-2658|Name=YOR058C|ASE1,1235.635051,1.120421221,0.289025766,3.876544428,0.00010595,0.000233387,UP,ASE1,FALSE,NA
SK1_10T00470.1|CDS=1-645|Name=YJL170C|ASG7,60.37859579,0.930596731,0.290677098,3.201479368,0.001367239,0.002523185,UP,ASG7,FALSE,NA
SK1_14T01580.1|CDS=1-870|Name=YNL159C|ASI2,620.3805531,1.031786981,0.118041096,8.740913245,2.31E-18,4.35E-17,UP,ASI2,FALSE,NA
SK1_04T01480.1|CDS=1-1587|Name=YDL088C|ASM4,1708.474817,1.506330214,0.223029228,6.753958795,1.44E-11,9.47E-11,UP,ASM4,FALSE,NA
SK1_04T05150.1|CDS=1-1146|Name=YDR321W|ASP1,232.5845105,0.64151681,0.154031861,4.164831915,3.12E-05,7.46E-05,UP,ASP1,FALSE,NA
SK1_02T00400.1|CDS=1-1290|Name=YBL069W|AST1,345.5031034,0.806380689,0.148879582,5.416328276,6.08E-08,2.25E-07,UP,AST1,FALSE,NA
SK1_04T03930.1|CDS=1-885|Name=YDR184C|ATC1,100.5965682,0.971228797,0.210978919,4.603440004,4.16E-06,1.14E-05,UP,ATC1,FALSE,NA
SK1_07T03890.1|CDS=1-1608|Name=YGR177C|ATF2,74.7788061,2.58559119,0.284848648,9.077070269,1.12E-19,2.55E-18,UP,ATF2,FALSE,NA
SK1_07T03370.1|CDS=1-1479|Name=YGR121C|MEP1,2782.269507,-1.716277012,0.155485927,-11.03815017,2.50E-28,1.71E-26,DOWN,MEP1,FALSE,NA
SK1_02T02260.1|CDS=1-1035|Name=YBR128C|ATG14,303.9794516,1.451596161,0.141267869,10.27548708,9.09E-25,4.09E-23,UP,ATG14,FALSE,NA
