,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed,gene_symbol,Candidate_EMG,delabel,
SK1_05T02530.1|CDS=1-1005|Name=YER179W|DMC1,90.90014824,2.680325784,0.415263314,62.9435408,6.97E-13,1.33E-10,p < 0.05,DMC1,FALSE,NA,1
SK1_04T00860.1|CDS=1-2706|Name=YDL154W|MSH5,251.4673731,0.902653633,0.179750182,61.28915858,1.55E-12,2.86E-10,p < 0.05,MSH5,FALSE,NA,1
SK1_07T00700.1|CDS=1-660|Name=YGL183C|MND1,64.00294618,3.765176084,0.594040541,59.57498633,3.56E-12,6.35E-10,p < 0.05,MND1,FALSE,NA,1
SK1_02T00920.1|CDS=1-1581|Name=YBL015W|ACH1,3212.052111,0.9116418,0.220041378,58.73348876,5.35E-12,9.24E-10,p < 0.05,ACH1,FALSE,NA,1
SK1_13T00870.1|CDS=1-2013|Name=YML042W|CAT2,267.7940132,0.590703417,0.218749746,58.46255353,6.10E-12,1.02E-09,p < 0.05,CAT2,FALSE,NA,1
SK1_08T02000.1|CDS=1-549|Name=YHR157W|REC104,157.8943031,2.174871331,0.329799684,58.15740464,7.07E-12,1.15E-09,p < 0.05,REC104,FALSE,NA,1
SK1_15T02360.1|CDS=1-984|Name=YOR100C|CRC 1.00,90.96460261,1.587259105,0.348455111,58.10377258,7.26E-12,1.15E-09,p < 0.05,CRC 1.00,FALSE,NA,0
SK1_02T02790.1|CDS=1-1533|Name=YBR184W|YBR184W,247.7724368,1.488407107,0.265118927,55.44352033,2.62E-11,4.03E-09,p < 0.05,YBR184W,FALSE,NA,1
SK1_16T02500.1|CDS=1-1110|Name=YPL018W|CTF19,254.7156454,1.052608009,0.200146682,55.3245751,2.78E-11,4.15E-09,p < 0.05,CTF19,FALSE,NA,1
SK1_16T02510.1|CDS=1-1221|Name=YPL017C|IRC15,230.3742454,1.591562435,0.308829843,55.22618413,2.91E-11,4.24E-09,p < 0.05,IRC15,FALSE,NA,1
SK1_07T03560.1|CDS=1-1233|Name=YGR142W|BTN 2.00,1425.179137,0.15441606,0.170088067,54.44157209,4.25E-11,6.03E-09,p < 0.05,BTN 2.00,FALSE,NA,0
SK1_15T04890.1|CDS=1-1131|Name=YOR388C|FDH1,91.56180377,2.616968442,0.45771372,53.86733451,5.61E-11,7.75E-09,p < 0.05,FDH1,FALSE,NA,1
SK1_12T02950.1|CDS=1-2484|Name=YLR263W|RED1,360.6979463,1.02662372,0.209230114,52.79560375,9.40E-11,1.27E-08,p < 0.05,RED1,FALSE,NA,1
SK1_13T00010.1|CDS=1-1146|Name=YJR161C/YDL248W|COS5,228.1111268,1.153918408,0.239021386,51.41982167,1.82E-10,2.40E-08,p < 0.05,COS5,FALSE,NA,1
SK1_02T00440.1|CDS=1-786|Name=YBL064C|PRX1,697.498705,0.840737036,0.211870831,51.03343934,2.20E-10,2.82E-08,p < 0.05,PRX1,FALSE,NA,1
SK1_14T02040.1|CDS=1-3552|Name=YNL106C|INP52,700.8929644,0.645501364,0.123588074,50.53308617,2.79E-10,3.51E-08,p < 0.05,INP52,FALSE,NA,1
SK1_11T02150.1|CDS=1-1344|Name=YKR005C|YKR005C,164.5384121,1.21978594,0.219934459,50.1634755,3.34E-10,4.10E-08,p < 0.05,YKR005C,FALSE,NA,1
SK1_11T01950.1|CDS=1-2940|Name=YKL015W|PUT3,1269.73336,0.632432468,0.120808729,49.69648115,4.18E-10,5.02E-08,p < 0.05,PUT3,FALSE,NA,1
SK1_15T04560.1|CDS=1-1494|Name=YOR351C|MEK1,85.54287914,2.685297931,0.420722167,49.64517778,4.28E-10,5.03E-08,p < 0.05,MEK1,TRUE,MEK1,1
SK1_16T01560.1|CDS=1-666|Name=YPL121C|MEI5,64.34088644,3.525721148,0.562338912,48.49823811,7.43E-10,8.55E-08,p < 0.05,MEI5,FALSE,NA,1
SK1_08T00010.1|CDS=1-1146|Name=YHL048W|COS8,314.8733638,1.065369046,0.233098247,47.85950459,1.01E-09,1.14E-07,p < 0.05,COS8,FALSE,NA,1
SK1_07T01970.1|CDS=1-2736|Name=YGL036W|YGL036W,1881.143895,0.721026507,0.161653216,47.8104771,1.03E-09,1.14E-07,p < 0.05,YGL036W,FALSE,NA,1
SK1_14T00590.1|CDS=1-1722|Name=YNL270C|ALP1,66.43864042,2.436688265,0.445320059,47.04841923,1.49E-09,1.61E-07,p < 0.05,ALP1,FALSE,NA,1
SK1_08T01960.1|CDS=1-597|Name=YHR153C|SPO16,106.1136769,1.930631473,0.333474606,46.76982343,1.70E-09,1.76E-07,p < 0.05,SPO16,FALSE,NA,1
SK1_13T03180.1|CDS=1-6372|Name=YMR207C|HFA1,1723.555934,0.387540763,0.097857722,46.74366737,1.72E-09,1.76E-07,p < 0.05,HFA1,FALSE,NA,1
SK1_15T01510.1|CDS=1-1437|Name=YOR003W|YSP3,339.012421,1.088417719,0.195700981,46.78856806,1.69E-09,1.76E-07,p < 0.05,YSP3,FALSE,NA,1
SK1_08T02450.1|CDS=1-1809|Name=YHR202W|YHR202W,843.1387995,0.616674652,0.15359747,45.7363605,2.79E-09,2.81E-07,p < 0.05,YHR202W,FALSE,NA,1
SK1_06T00830.1|CDS=1-588|Name=YFR017C|IGD1,126.2671454,1.788830973,0.344296331,44.26722971,5.65E-09,5.57E-07,p < 0.05,IGD1,FALSE,NA,1
