"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","gene_symbol","Candidate_EMG","delabel"
"SK1_11T00390.1|CDS=1-6156|Name=YKL182W|FAS1",12899.9537722956,-0.399442984765911,0.0916827645389481,-4.35679472335525,1.31980939634572e-05,0.0020243845663949,"Not Significant","FAS1",FALSE,NA
"SK1_10T00820.1|CDS=1-6645|Name=YJL130C|URA2",6980.69073095968,-0.382638234623081,0.0883818196818222,-4.32937719545256,1.49531626797337e-05,0.00220863750988066,"Not Significant","URA2",FALSE,NA
"SK1_07T04650.1|CDS=1-1605|Name=YGR260W|TNA1",1640.98407451029,-0.363874288724583,0.0849706693901598,-4.28235167895149,1.84928397890616e-05,0.00254308431306129,"Not Significant","TNA1",FALSE,NA
"SK1_13T01740.1|CDS=1-1911|Name=YMR058W|FET3",1662.78910038349,-0.433940773056472,0.101330693608165,-4.282421817169,1.84870098087049e-05,0.00254308431306129,"Not Significant","FET3",FALSE,NA
"SK1_07T04750.1|CDS=1-702|Name=YGR271C-A|EFG1",458.149721459807,0.639533127798892,0.150360467748704,4.25333292303758,2.10612092723388e-05,0.00254916573738008,"Up Regulated","EFG1",FALSE,NA
"SK1_09T01600.1|CDS=1-1299|Name=YIR004W|DJP1",1545.32586438706,0.467377601816356,0.109893996274032,4.25298576503582,2.10938990304771e-05,0.00254916573738008,"Not Significant","DJP1",FALSE,NA
"SK1_12T03610.1|CDS=1-5631|Name=YLR342W|FKS1",13258.0708524757,-0.431179151881008,0.101252590021781,-4.258450591617,2.05848703919753e-05,0.00254916573738008,"Not Significant","FKS1",FALSE,NA
"SK1_13T03630.1|CDS=1-567|Name=YMR255W|GFD1",385.860031390122,0.526736632204021,0.123834728088784,4.2535453530158,2.10412298246861e-05,0.00254916573738008,"Not Significant","GFD1",FALSE,NA
"SK1_04T01390.1|CDS=1-1026|Name=YDL099W|BUG1",912.878329386426,0.417912056650006,0.0988495857786123,4.22775728758216,2.36032202130311e-05,0.0026894183488448,"Not Significant","BUG1",FALSE,NA
"SK1_15T00310.1|CDS=1-1134|Name=YOL126C|MDH2",429.260804092288,-0.50712744367495,0.119934908182876,-4.22835562521702,2.35405498485405e-05,0.0026894183488448,"Not Significant","MDH2",FALSE,NA
"SK1_11T00930.1|CDS=1-504|Name=YKL122C|SRP21",965.434880925068,0.560826485526264,0.133492541005217,4.20118218818192,2.6552479879416e-05,0.00294142471553086,"Not Significant","SRP21",FALSE,NA
"SK1_15T00970.1|CDS=1-1656|Name=YOL055C|THI20",485.392606633053,0.482613972933112,0.115644314920205,4.17326155000457,3.00269900354003e-05,0.00315125358582043,"Not Significant","THI20",FALSE,NA
"SK1_15T03640.1|CDS=1-633|Name=YOR247W|SRL1",14107.4044774748,-0.44193331951472,0.105819473549568,-4.17629482259433,2.96295750053302e-05,0.00315125358582043,"Not Significant","SRL1",FALSE,NA
"SK1_03T00120.1|CDS=1-294|Name=YCL057C-A|MIC10",428.496235640205,0.622672145872753,0.149875939059543,4.1545837829605,3.25880194746825e-05,0.00333233388884702,"Up Regulated","MIC10",FALSE,NA
"SK1_04T03040.1|CDS=1-243|Name=YDR086C|SSS1",1235.73027751817,0.531061088384536,0.128418649018258,4.13538915449135,3.54353627310011e-05,0.00353290566428081,"Not Significant","SSS1",FALSE,NA
"SK1_05T02200.1|CDS=1-1215|Name=YER145C|FTR1",2342.99282732413,-0.405290062813272,0.0986120923235753,-4.10994284031005,3.95757068174396e-05,0.00355071652548145,"Not Significant","FTR1",FALSE,NA
"SK1_07T02840.1|CDS=1-4077|Name=YGR061C|ADE6",6492.68224106184,-0.305826895548673,0.0742282294146388,-4.12008878509447,3.78726431377811e-05,0.00355071652548145,"Not Significant","ADE6",FALSE,NA
"SK1_08T01660.1|CDS=1-564|Name=YHR121W|LSM 12.00",823.966160397872,0.425830973346128,0.103936221411099,4.09704112353515,4.18464585500572e-05,0.00355071652548145,"Not Significant","LSM 12.00",FALSE,NA
"SK1_12T03900.1|CDS=1-729|Name=YLR376C|PSY3",803.878411623541,0.526960179589949,0.127769200270513,4.1243130462918,3.71842877322906e-05,0.00355071652548145,"Not Significant","PSY3",FALSE,NA
"SK1_14T02290.1|CDS=1-600|Name=YNL079C|TPM1",4471.23092845813,0.397488630709815,0.0968088527199703,4.10591200641116,4.0272277570664e-05,0.00355071652548145,"Not Significant","TPM1",FALSE,NA
"SK1_14T03490.1|CDS=1-1548|Name=YNR051C|BRE 5.00",3165.19010362438,0.458398955516983,0.111788618906647,4.10058698282861,4.1210349705476e-05,0.00355071652548145,"Not Significant","BRE 5.00",FALSE,NA
"SK1_16T04060.1|CDS=1-759|Name=YPR158W|CUR1",563.512273922998,0.431389996836034,0.104990347142661,4.10885389539536,3.97627522938613e-05,0.00355071652548145,"Not Significant","CUR1",FALSE,NA
"SK1_07T00240.1|CDS=1-2409|Name=YGL234W|ADE5,7",8768.76611757234,-0.301177712281076,0.0737041393304116,-4.08630661747386,4.382944772737e-05,0.00364149661534899,"Not Significant","ADE5,7",FALSE,NA
"SK1_07T01480.1|CDS=1-1734|Name=YGL095C|VPS45",546.941306926827,0.459981104871593,0.112977216478721,4.07145014905044,4.67213619666883e-05,0.00372649583046306,"Not Significant","VPS45",FALSE,NA
"SK1_15T01570.1|CDS=1-1464|Name=YOR009W|TIR4",293.287362597804,-0.60120230532526,0.147512606051079,-4.07559951260763,4.58959496156004e-05,0.00372649583046306,"Down Regulated","TIR4",FALSE,NA
"SK1_16T00370.1|CDS=1-789|Name=YPL246C|RBD2",810.088821662575,-0.438549806428111,0.108856633664277,-4.02869160717055,5.60881369891861e-05,0.00438238470811756,"Not Significant","RBD2",FALSE,NA
"SK1_16T04200.1|CDS=1-603|Name=YPR172W|YPR172W",545.626005192205,0.447329724331289,0.111156854979946,4.02431073110149,5.71424284910012e-05,0.00438238470811756,"Not Significant","YPR172W",FALSE,NA
"SK1_13T02960.1|CDS=1-2118|Name=YMR186W|HSC82",42992.1696117774,0.27063136704899,0.0675071091412994,4.008931362807,6.0994140141177e-05,0.00458952133741535,"Not Significant","HSC82",FALSE,NA
"SK1_12T00840.1|CDS=1-723|Name=YLR025W|SNF7",1043.09729518818,0.438554000217696,0.110541117879506,3.96733820527975,7.26798200770208e-05,0.00536753930494739,"Not Significant","SNF7",FALSE,NA
"SK1_15T00460.1|CDS=1-342|Name=YOL109W|ZEO1",4588.4295065791,0.498448687387872,0.127211829147154,3.91825737220777,8.91914452219981e-05,0.00646719060991506,"Not Significant","ZEO1",FALSE,NA
"SK1_07T01360.1|CDS=1-423|Name=YGL108C|YGL108C",223.619547694105,0.656850986228412,0.169130839179786,3.88368549114913,0.000102884974922977,0.00707422896539368,"Up Regulated","YGL108C",FALSE,NA
"SK1_10T00240.1|CDS=1-2646|Name=YJL198W|PHO90",1889.82801040351,-0.371884347167904,0.0956203349802787,-3.88917636865216,0.000100585002719084,0.00707422896539368,"Not Significant","PHO90",FALSE,NA
"SK1_15T03770.1|CDS=1-1011|Name=YOR261C|RPN8",1064.5442664435,0.403050199330332,0.103745947721159,3.88497293806232,0.000102341287454767,0.00707422896539368,"Not Significant","RPN8",FALSE,NA
"SK1_10T00900.1|CDS=1-1443|Name=YJL123C|MTC1",1328.85131115133,0.342899689800521,0.0885240379308516,3.87352065964692,0.000107274308222083,0.00725101595236723,"Not Significant","MTC1",FALSE,NA
