"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","gene_symbol","Candidate_EMG","delabel"
"SK1_15T04810.1|CDS=1-1641|Name=YOR380W|RDR1",288.310398861558,-0.455924499973901,0.137271968078031,-3.32132267321129,0.000895918932731338,0.164132348476381,"Not Significant","RDR1",FALSE,NA
"SK1_07T00050.1|CDS=1-1131|Name=YGL255W|ZRT1",471.140251853463,-0.481669601885963,0.148816597240555,-3.23666587475701,0.00120934919018689,0.214405908040875,"Not Significant","ZRT1",FALSE,NA
"SK1_10T01200.1|CDS=1-1017|Name=YJL088W|ARG3",128.780532782429,0.586006498211634,0.185109728882931,3.16572500941991,0.00154696964082724,0.265692035812078,"Not Significant","ARG3",FALSE,NA
"SK1_04T02420.1|CDS=1-1203|Name=YDR019C|GCV1",883.625058263247,0.37860888245333,0.122137191454232,3.09986563425444,0.00193608450645256,0.322446074165554,"Not Significant","GCV1",FALSE,NA
"SK1_03T00650.1|CDS=1-1383|Name=YCR005C|CIT2",637.858259076036,-0.428080318582323,0.141716640219687,-3.02067786760058,0.00252209526402585,0.364774620291738,"Not Significant","CIT2",FALSE,NA
"SK1_04T04560.1|CDS=1-2436|Name=YDR258C|HSP78",751.567603043979,0.311952144633379,0.102391891190195,3.04664891923835,0.00231407818760653,0.364774620291738,"Not Significant","HSP78",FALSE,NA
"SK1_08T00010.1|CDS=1-1146|Name=YHL048W|COS8",159.67516776938,0.559177345419759,0.183928164207638,3.04019424011919,0.00236425615963773,0.364774620291738,"Not Significant","COS8",FALSE,NA
"SK1_12T00880.1|CDS=1-615|Name=YLR029C|RPL15A",7973.27799235629,0.383710095826977,0.126576858883171,3.03143954758064,0.00243390652214714,0.364774620291738,"Not Significant","RPL15A",FALSE,NA
"SK1_14T03720.1|CDS=1-1125|Name=YNR075W|COS10",181.727451201023,-0.540728909744478,0.178541696585204,-3.0285861515068,0.00245701010384181,0.364774620291738,"Not Significant","COS10",FALSE,NA
"tRNA-Pro_TGG:chrXV:281774-281875:+|Name=tRNA-Pro_TGG:chrXV:281774-281875:+|=|0",5.12673257042754,-4.62756511673624,1.5587114203031,-2.96884019482989,0.00298926010218031,0.421255731322641,"Not Significant","0",FALSE,NA
"SK1_13T01970.1|CDS=1-1017|Name=YMR081C|ISF1",753.343467380885,-0.40229814767667,0.136031909138683,-2.95738073679854,0.00310264748208286,0.426303764038185,"Not Significant","ISF1",FALSE,NA
