,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed,gene_symbol,Candidate_EMG,delabel,Candidate_w_FC
SK1_12T02100.1|CDS=1-459|Name=YLR167W|RPS31,2743.931784,-2.240268093,0.166866579,-13.42550499,4.29E-41,2.32E-39,DOWN,RPS31,FALSE,RPS31,HIT
SK1_07T03880.1|CDS=1-1491|Name=YGR175C|ERG1,4325.947397,-1.643557544,0.122461944,-13.42096568,4.56E-41,2.44E-39,DOWN,ERG1,FALSE,ERG1,HIT
SK1_04T06500.1|CDS=1-411|Name=YDR471W|RPL27B,272.4616071,-2.404075766,0.182833107,-13.14901773,1.72E-39,8.88E-38,DOWN,RPL27B,FALSE,RPL27B,HIT
SK1_04T06310.1|CDS=1-441|Name=YDR450W|RPS18A,1205.662361,-2.149784019,0.164145655,-13.09680731,3.43E-39,1.72E-37,DOWN,RPS18A,FALSE,RPS18A,HIT
SK1_15T02320.1|CDS=1-573|Name=YOR096W|RPS7A,453.9733298,-2.141969978,0.166553521,-12.8605506,7.50E-38,3.60E-36,DOWN,RPS7A,FALSE,NA,HIT
SK1_07T04600.1|CDS=1-1314|Name=YGR254W|ENO1,7412.335112,-3.748367125,0.294092025,-12.74555855,3.30E-37,1.53E-35,DOWN,ENO1,FALSE,NA,HIT
SK1_09T00050.1|CDS=1-969|Name=YIL164C|NIT1,476.4741267,-2.640692535,0.207365132,-12.73450607,3.80E-37,1.73E-35,DOWN,NIT1,FALSE,NA,HIT
SK1_04T05730.1|CDS=1-333|Name=YDR382W|RPP2B,589.5986116,-2.196605402,0.173690193,-12.64668641,1.17E-36,5.10E-35,DOWN,RPP2B,FALSE,NA,HIT
SK1_10T00490.1|CDS=1-1059|Name=YJL167W|ERG20,1161.917986,-2.269068937,0.179481668,-12.64234371,1.23E-36,5.35E-35,DOWN,ERG20,FALSE,NA,HIT
SK1_13T00570.1|CDS=1-531|Name=YML073C|RPL6A,718.3449527,-1.956928601,0.156253202,-12.52408643,5.51E-36,2.27E-34,DOWN,RPL6A,FALSE,NA,HIT
SK1_02T00210.1|CDS=1-393|Name=YBL092W|RPL32,907.6104129,-2.096144464,0.167452345,-12.51785672,5.96E-36,2.43E-34,DOWN,RPL32,FALSE,NA,HIT
SK1_04T05760.1|CDS=1-2529|Name=YDR385W|EFT2,8980.928165,-2.205628163,0.177427445,-12.43115553,1.77E-35,7.02E-34,DOWN,EFT2,FALSE,NA,HIT
SK1_13T01010.1|CDS=1-411|Name=YML024W|RPS17A,909.3056349,-1.776889697,0.14319461,-12.40891468,2.34E-35,9.08E-34,DOWN,RPS17A,FALSE,NA,HIT
SK1_04T01560.1|CDS=1-321|Name=YDL081C|RPP1A,613.6830013,-1.978381878,0.160323872,-12.33990833,5.52E-35,2.08E-33,DOWN,RPP1A,FALSE,NA,HIT
SK1_12T02040.1|CDS=1-2052|Name=YLR153C|ACS2,7510.567026,-2.167172347,0.175713281,-12.33357171,5.97E-35,2.24E-33,DOWN,ACS2,FALSE,NA,HIT
SK1_13T02530.1|CDS=1-600|Name=YMR142C|RPL13B,1066.583037,-1.824710736,0.148233634,-12.3096944,8.03E-35,2.97E-33,DOWN,RPL13B,FALSE,NA,HIT
SK1_12T00190.1|CDS=1-771|Name=YLL045C|RPL8B,1680.938296,-2.365294448,0.192478455,-12.28861925,1.04E-34,3.83E-33,DOWN,RPL8B,FALSE,NA,HIT
SK1_13T00550.1|CDS=1-3165|Name=YML075C|HMG1,2586.407109,-1.865516235,0.152413204,-12.2398597,1.90E-34,6.95E-33,DOWN,HMG1,FALSE,NA,HIT
SK1_15T04530.1|CDS=1-1884|Name=YOR348C|PUT4,1184.036139,-2.336610983,0.191253792,-12.21733155,2.51E-34,9.08E-33,DOWN,PUT4,FALSE,NA,HIT
SK1_15T04720.1|CDS=1-432|Name=YOR369C|RPS12,680.3573002,-2.641030372,0.216176369,-12.21701698,2.52E-34,9.08E-33,DOWN,RPS12,FALSE,NA,HIT
